,num_nodes,burnt_nodes,instance,D,B,algorithm,infeasible,runtime,not_interrupted,objective,is_upper_bound,D_max,defended_seq,distances
0,40,[17],4,4,1,moving,False,4.740309000015259,True,4.0,False,[39],"[[39, 0, 0], [26, 1, 0], [26, 1, 1], [18, 1, 2], [18, 1, 3]]",[0.9500000000000001]
1,40,[17],4,4,2,moving,False,41.15676999092102,True,5.0,False,[39],"[[39, 0, 0], [26, 1, 0], [25, 1, 1], [25, 1, 2], [25, 1, 3], [25, 2, 0], [24, 2, 1], [24, 2, 2], [10, 2, 3]]","[0.9500000000000001, 1.7700000000000002]"
2,40,[17],4,4,3,moving,False,57.50477194786072,True,5.0,True,[39],"[[39, 0, 0], [26, 1, 0], [25, 1, 1], [25, 1, 2], [25, 1, 3], [24, 2, 0], [10, 2, 1], [10, 2, 2], [10, 2, 3], [20, 3, 0], [20, 3, 1], [20, 3, 2], [14, 3, 3]]","[0.9500000000000001, 1.77, 2.8499999999999996]"
