,num_nodes,burnt_nodes,instance,D,B,algorithm,infeasible,runtime,not_interrupted,objective,is_upper_bound,D_max,defended_seq,distances
0,40,[21],2,2,1,moving,False,0.005615949630737305,True,3.0,False,[39],"[[39, 0, 0], [31, 1, 0], [31, 1, 1]]",[0.95]
1,40,[21],2,2,2,moving,False,2.461095094680786,True,5.0,False,[39],"[[39, 0, 0], [39, 1, 0], [39, 1, 1], [23, 2, 0], [23, 2, 1]]","[0.0, 1.55]"
2,40,[21],2,2,3,moving,False,15.382725954055786,True,5.0,True,[39],"[[39, 0, 0], [39, 1, 0], [39, 1, 1], [39, 2, 0], [29, 2, 1], [33, 3, 0], [24, 3, 1]]","[0.0, 1.55, 3.0]"
