,num_nodes,burnt_nodes,instance,D,B,algorithm,infeasible,runtime,not_interrupted,objective,is_upper_bound,D_max,defended_seq,distances
0,40,[17],1,3,1,moving,False,0.9110100269317627,True,5.0,False,[39],"[[39, 0, 0], [39, 1, 0], [31, 1, 1], [26, 1, 2]]",[1.0]
1,40,[17],1,3,2,moving,False,16.048243045806885,True,7.0,False,[39],"[[39, 0, 0], [39, 1, 0], [39, 1, 1], [13, 1, 2], [19, 2, 0], [19, 2, 1], [30, 2, 2]]","[0.9, 1.9]"
2,40,[17],1,3,3,moving,False,30.509932041168213,True,7.0,True,[39],"[[39, 0, 0], [39, 1, 0], [18, 1, 1], [18, 1, 2], [10, 2, 0], [24, 2, 1], [24, 2, 2], [24, 3, 0], [34, 3, 1], [34, 3, 2]]","[0.8, 1.9000000000000001, 2.4000000000000004]"
